sample_index,time_ns,raw_hex,is_trigger,probe[0],probe[1],probe[2],probe[3],probe[4],probe[5],probe[6],probe[7],probe[8],probe[9],probe[10],probe[11],probe[12],probe[13],probe[14],probe[15]
247,20583.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
248,20666.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
249,20750.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
250,20833.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
251,20916.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
252,21000.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
253,21083.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
254,21166.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
255,21250.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
256,21333.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
257,21416.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
258,21500.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
259,21583.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
260,21666.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
261,21750.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
262,21833.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
263,21916.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
264,22000.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
265,22083.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
266,22166.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
267,22250.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
268,22333.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
269,22416.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
270,22500.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
271,22583.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
272,22666.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
273,22750.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
274,22833.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
275,22916.7,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
276,23000.0,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
277,23083.3,0xFFFF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
